file,workload,family,quality_metric,native_runtime_sec,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status
practical_55454998_prac2gint_c0c1of4_c0_chem_4q_grid13_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00017642098828218877,8.987997817981523,50946.30693035823,-1.705732892552902,-0.9019600519043551,0.8037728406485469,232,87,116,29,55454998_prac2gint_c0c1of4_c0,9.002622123982292,17,72,4,3,synthetic,"0,1,2",,1,13,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55454998_prac2gint_c0c1of4_c0_chem_4q_grid13_seed17.json,ok
practical_55454998_prac2gint_c0c1of4_c0_chem_4q_grid9_seed23.json,chemistry,chemistry_vqe,absolute_energy_error,0.00017739299801178277,7.994099652016303,45064.34719303476,-1.705732892552902,-1.2281036714213251,0.4776292211315769,168,63,84,21,55454998_prac2gint_c0c1of4_c0,8.007577090000268,23,72,4,3,synthetic,"0,1,2",,1,9,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55454998_prac2gint_c0c1of4_c0_chem_4q_grid9_seed23.json,ok
practical_55454998_prac2gint_c0c1of4_c0_chem_h2_grid17_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.00016957797924987972,8.140889725007582,48006.762204729814,-1.85727503020238,-1.8456249981377126,0.011650032064667304,1304,326,652,326,55454998_prac2gint_c0c1of4_c0,8.165389020985458,17,72,4,3,synthetic,"0,1,2",,1,17,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55454998_prac2gint_c0c1of4_c0_chem_h2_grid17_seed17.json,ok
practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_128s_4q_d1_seed17.json,ml,multiclass_ml,test_accuracy,0.009516460006125271,6.624170570023125,696.0750705366781,1.0,0.6875,0.3125,1024,384,512,128,55454998_prac2gint_c0c1of4_c0,6.705583877977915,17,128,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_128s_4q_d1_seed17.json,ok
practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_128s_6q_d1_seed23.json,ml,multiclass_ml,test_accuracy,0.009695646993350238,7.456842651008628,769.0918054383484,1.0,0.75,0.25,1536,640,768,128,55454998_prac2gint_c0c1of4_c0,7.537919877009699,23,128,6,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_128s_6q_d1_seed23.json,ok
practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_128s_8q_d1_seed17.json,ml,multiclass_ml,test_accuracy,0.009751247998792678,6.359806361986557,652.2043499225922,1.0,0.6875,0.3125,2048,896,1024,128,55454998_prac2gint_c0c1of4_c0,6.44249056398985,17,128,8,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_128s_8q_d1_seed17.json,ok
practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_192s_4q_d1_seed23.json,ml,multiclass_ml,test_accuracy,0.011457741988124326,7.379796057008207,644.0881689129662,0.9791666666666666,0.75,0.22916666666666663,1536,576,768,192,55454998_prac2gint_c0c1of4_c0,7.480403485009447,23,192,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_192s_4q_d1_seed23.json,ok
practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_192s_6q_d1_seed17.json,ml,multiclass_ml,test_accuracy,0.01149072201224044,14.206599789991742,1236.3539710436146,1.0,0.7291666666666666,0.27083333333333337,2304,960,1152,192,55454998_prac2gint_c0c1of4_c0,14.305434634996345,17,192,6,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_192s_6q_d1_seed17.json,ok
practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_192s_8q_d1_seed23.json,ml,multiclass_ml,test_accuracy,0.011673839995637536,7.081704290001653,606.6302341515778,0.9791666666666666,0.75,0.22916666666666663,3072,1344,1536,192,55454998_prac2gint_c0c1of4_c0,7.1777712409966625,23,192,8,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_192s_8q_d1_seed23.json,ok
practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_256s_4q_d1_seed17.json,ml,multiclass_ml,test_accuracy,0.013234092999482527,8.376739157974953,632.9666232738803,0.953125,0.859375,0.09375,2048,768,1024,256,55454998_prac2gint_c0c1of4_c0,8.48450644800323,17,256,4,3,digits,"0,1,2",sklearn_digits,1,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_55454998_prac2gint_c0c1of4_c0_ml_digits_c0v1v2_256s_4q_d1_seed17.json,ok
